as a result,結果として,"As a result of the heavy rain, the game was canceled."
look up,を調べる,Please look up the meaning of this word in a dictionary.
available,利用できる,Free Wi-Fi is available in most cafes in this city.
at first,最初は,"At first, I didn't understand the instructions, but I do now."
in the past,過去に,"In the past, people didn't have smartphones."
nowadays,最近、近頃,"Nowadays, more people are working from home."
information,情報,She gave me a lot of useful information about the trip.
drop by,ちょっと立ち寄る,Why don't you drop by my house on your way home?
gain,得る,He hopes to gain more experience by working part-time.
traditional,伝統的な,They still make traditional clothes in that village.
quality,質 特性,The quality of this coffee is much better than I expected.
improve,を改善する、改良する,We need to improve our English speaking skills.
however,しかしながら、どんなに~でも,"He is tired; however, he continues to study every night."
collect,集める,My hobby is to collect old coins from different countries.
extra,余分の、特別の,I need some extra money to buy a new bike.
clothing,衣料品,This shop sells warm clothing for winter.
comfortable,心地の良い、快適な,This chair is very comfortable to sit in.
disappoint,がっかりさせる,His rude comment disappointed everyone at the party.
instead,代わりに、その代わり,"Instead of taking the bus, she decided to walk."
originally,はじめは、元々は,The town was originally a small fishing village.
take part in,に参加する,Many students take part in the volunteer program every year.
dress up,着飾る,They dressed up as their favorite characters for the party.
certainly,確かに、間違いなく,He certainly knows a lot about Japanese history.
find out,見つけ出す,I want to find out what happened at the meeting.
search for,を探索する,She spent hours searching for her lost cat.
come up with,を思いつく、を考え出す,He came up with a great idea for the school festival.
company,会社,My father works for a small trading company.
details,詳細,The report didn't give enough details about the accident.
melt,溶ける、を溶かす,The ice began to melt as the sun rose.
direction,方向,方角,I lost my sense of direction in the big city.
injury,怪我,負傷,He suffered a serious injury during the soccer match.
silence,沈黙,The library was filled with silence.
tight,狭い、締まった,My new shoes feel a bit tight.
protect,を守る、保護する,It is important to protect the environment.
sharp,鋭い,Be careful; the knife is very sharp.
behind,背後に,The cat was hiding behind the sofa.
bother,面倒/迷惑をかける,I hope this doesn't bother you too much.
emergency,緊急、急ぎ,"In case of emergency, please call this number."
waste,を浪費する/浪費、廃棄物,Don't waste your time playing video games all day.
amount,量,額,A large amount of rain fell yesterday.
advantage,有利,利点,Learning a new language has many advantages.
object,物体,The strange object in the sky turned out to be a balloon.
add,足し算する、合計する,Please add these numbers together and tell me the total.
surface,表面,水面,Bubbles rose to the surface of the water.
destroy,を破壊する,The old building was destroyed in the fire.
knowledge,知識,Reading books gives you a lot of knowledge.
continue,をし続ける,They decided to continue the meeting after lunch.
immediately,即座に,Please call me immediately if anything happens.
correct,正確な/を訂正する,He gave the correct answer to every question.
government,政府,行政府,内閣,The government announced a new education policy.
raise,を上げる、持ち上げる,The company decided to raise the price of its products.
hurt,を傷つける,She didn't mean to hurt his feelings.
experiment,実験、試み,The scientists carried out an interesting experiment.
fail,失敗する,"If you fail the first time, try again."
material,材料,原料,This bridge is made of strong material.
recently,最近、このごろ,I met her recently at a friend's party.
spread,を広げる、広がる,News about the accident spread quickly through the town.
traffic,交通、運輸,The traffic was heavy on the way to school.
modern,現代的な、現代の,This is a very modern and stylish building.
reduce,を減らす、縮小する,We should reduce the amount of plastic we use.
distance,距離,The station is a short distance from my house.
opportunity,機会,好機,Studying abroad gave her a great opportunity to grow.
activity,活動,Swimming is my favorite activity in the summer.
abroad,外国で、外国へ,He wants to study abroad next year.
prefer,より好む,I prefer tea to coffee in the morning.
mention,言及する,She didn't mention the problem during the meeting.
although,だけれども,"Although it was raining, we went hiking."
climate,気候,The climate in this region is very mild.
condition,状態、条件,The car is in good condition even though it is old.
impression,印象,The new restaurant made a good impression on me.
item,項目,品目,Please check each item on this list carefully.
profit,利益、もうけ,The company made a large profit this year.
survey,調査/を見渡す,We conducted a survey to learn about students' habits.
sink,沈む,The boat began to sink slowly.
illness,病気,He was absent from school because of illness.
flavor,風味,味,This ice cream has a rich chocolate flavor.
expert,専門家,We asked an expert for advice about the problem.
borrow,を借りる,Can I borrow your pen for a moment?
notice,気づく/通知,I didn't notice that you changed your hairstyle.
quit,やめる,He decided to quit his job and travel the world.
silly,馬鹿な、愚かな,That was a silly mistake to make.
wealthy,裕福な,The wealthy family owns several houses.
behave,振る舞う,Please behave properly during the ceremony.
decrease,減少する、を減らす/減少,Sales have started to decrease this month.
divide,を分割する、分ける,We divided the cake into eight pieces.
ignore,を無視する,You should not ignore your parents' advice.
judge,を判断する/裁判官,It is hard to judge who is right in this case.
organize,を組織する、を編成する,They organized a big event for the community.
overcome,を克服する,She managed to overcome her fear of speaking in public.
narrow,幅が狭い,The road became narrow near the mountain.
attract,引きつける,Bright colors attract customers' attention.
breathe,呼吸をする,Take a deep breath and relax.
confuse,を混乱させる、区別がつかない,His strange story confused all of us.
reserve,を取っておく,Please reserve a table for four at seven o'clock.
asleep,眠っている,The baby was asleep in her mother's arms.
nervous,神経質な、ぴくぴくして,I feel nervous before every exam.
discuss,について議論する、検討する,Let's discuss this plan in more detail.
rarely,めったに〜ない,She rarely eats fast food.
thanks to,のおかげで,"Thanks to your help, I finished the project on time."
anyway,ともかく,"Anyway, let's talk about it later."
by the time,するまでには,"By the time we arrived, the concert had already started."
in particular,特に、とりわけ,"I like all seasons, but I love summer in particular."
take over,を引き継ぐ,He will take over his father's business next year.
in addition,追加として、さらに,"In addition to English, she can speak French."
be filled with,で満たされている,The basket was filled with fresh fruit.
even though,~だけれども、〜であるのに,"Even though he was tired, he kept working."
refrigerator,冷蔵庫,There is no milk in the refrigerator.
and so on,などなど,"The store sells books, magazines, and so on."
at most,多くとも、せいぜい,"At most, the trip will take three hours."
do me a favor,お願いをする,Could you do me a favor and carry this bag?
get along with,とうまくやっていく,It took time for him to get along with his classmates.
get back,取り戻す,She worked hard to get back her health after the illness.
in spite of,にもかかわらず,"In spite of the rain, the festival was a success."
keep in mind,を心に留めておく,Please keep in mind that the shop closes at nine.
on the way to,道の途中で,There is a nice cafe on the way to the station.
put down,置く,He put down his bag and sat on the sofa.
rely on,に頼る、を当てにする,You can always rely on your friends for support.
run out of,を使い果たす,We ran out of milk this morning.
so far,これまでは,"So far, everything has gone well with the project."
appeal to,に訴える,The advertisement is designed to appeal to young people.
as well,同様に、その上,"He is kind, and he is also very smart as well."
be good at,~が上手である,My sister is good at drawing pictures.
be responsible for,に対して責任がある,The manager is responsible for the team's performance.
call off,を中止する,The event was called off because of the storm.
in case,万一に備えて,Bring an umbrella in case it rains later.
on average,平均して,"On average, students spend two hours on homework every day."
on foot,歩いて,It takes about ten minutes to get there on foot.
out of order,故障して,"The elevator was out of order, so we used the stairs."
on purpose,故意に、わざと,He broke the vase on purpose to make his sister angry.
stay away from,離れている,You should stay away from strangers at night.
suffer from,で苦しむ、悩まされる,Many people suffer from stress these days.
apologize,謝る、謝罪する,He apologized for being late to the meeting.
succeed in,に成功する,She succeeded in passing the difficult exam.
after all,結局,"After all, he decided not to go to the party."
be popular with,に人気がある,This song is popular with young people.
be sick of,にうんざりしている,I'm sick of eating the same food every day.
be unlikely to,起こりそうにない,It is unlikely to rain this weekend.
catch up with,に追いつく,He ran fast to catch up with his friends.
differ from,とは違って、との違い,My opinion differs from yours on this topic.
in advance,前もって、事前に,Please make a reservation in advance.
in a hurry,急いで,She left the house in a hurry this morning.
participate in,に参加する,Many countries participate in the Olympic Games.
sooner or later,遅かれ早かれ,"Sooner or later, you will understand the reason."
try on,試着する,Can I try on this jacket before I buy it?
similar to,に似ている,This song sounds similar to one I heard before.
show off,見せびらかす,He likes to show off his new car.
turn down,断る,She turned down the job offer.
fill out,書き込む,Please fill out this form with your name and address.
mostly,主に、ほとんど,I mostly eat vegetables for dinner.
dig,を掘る,The dog dug a hole in the garden.
muscle,筋肉,Regular exercise helps build strong muscles.
bite,を噛む、かじる,The dog tried to bite the mail carrier.
treat,を扱う、待遇する,The doctor decided how to treat the patient's illness.
rather,むしろ、どちらかといえば,I would rather stay home than go out tonight.
apparently,明らかに,"Apparently, the train was delayed because of the accident."
spend,を費やす、使う,She spends most of her free time reading books.
discover,を発見する,Scientists discovered a new type of insect in the forest.
discovery,発見,His discovery changed the way people understood the universe.
arrival,到着,We are looking forward to her arrival tomorrow.
degree,程度,度,The temperature dropped by ten degrees overnight.
achieve,を達成する、到達する,He worked hard to achieve his dream.
attitude,態度,Her positive attitude helped the whole team.
explain,を説明する,Can you explain this word to me in Japanese?
establish,を設立する、創設する,The company was established fifty years ago.
tax,税金,The government raised the tax on cigarettes.
belief,信念,I have a strong belief that things will get better.
demonstrate,実証する、証明する,The teacher demonstrated how to solve the math problem.
ancient,古代の、大昔の,They found many ancient tools in the cave.
formal,形式の、形式的な,He wore a formal suit to the wedding.
allow,を許可する、許す,My parents don't allow me to stay out late.
article,記事,I read an interesting article about climate change.
contain,を含む、が入っている,This bottle contains one liter of water.
temperature,温度 気温,The temperature today is much higher than yesterday.
common,共通の、共同の,It is common for students to feel nervous before exams.
mean,を意味する,What does this English word mean?
hardly,ほとんどない,He hardly ever eats sweets.
unable,できない,She was unable to attend the meeting yesterday.
argument,議論、口論,They had an argument about money.
ancestor,祖先,先祖,Our ancestors lived in this village long ago.
capital,資本,首都,Tokyo is the capital of Japan.
disaster,災害,災難,The earthquake was a terrible disaster for the town.
height,高さ,The tower is famous for its great height.
ideal,理想,Her ideal job would be working as a doctor.
popularity,人気,流行,The band's popularity grew quickly after the concert.
blow,吹く,The strong wind began to blow harder.
decision,決定,結論,It was a difficult decision to make.
agent,代理人,The travel agent booked our flight tickets.
praise,をほめる/賞賛,His teacher praised him for his hard work.
punish,を罰する、懲らしめる,The teacher punished the students for being late.
chemical,化学物質/化学の,This factory produces various chemical products.
negative,否定の,He received a lot of negative comments online.
consist,成り立つ,The team consists of ten members.
criticize,を批評する,It's easy to criticize others but hard to help them.
import,輸入する,Japan imports a lot of oil from other countries.
promote,を促進する,The government wants to promote healthy eating habits.
recover,回復する,He is starting to recover from his illness.
release,解き放つ,Doctors finally released the results of the test.
translate,を翻訳する、通訳する,Can you translate this sentence into English?
warn,警告する,The sign warns people not to swim here.
childhood,子供時代,She had a happy childhood in the countryside.
thought,考えること、意見,I gave a lot of thought to the problem.
accomplish,を成し遂げる、完成する,He was able to accomplish his goal in the end.
combine,を結合させる、合同する,They combined the two companies into one.
complain,不満を言う,Stop complaining and start working.
favorite,特に好きな,Pizza is my favorite food.
responsible,責任がある、責任が伴う,Parents are responsible for their children's safety.
tiny,ごく小さい,The insect was too tiny to see clearly.
look down on,を下に見る,You shouldn't look down on other people.
get rid of,を取り除く,We need to get rid of these old newspapers.
instead of,の代わりに,"Instead of driving, let's take the train."
plenty of,たくさんの,There is plenty of food left for everyone.
stomach,腹,My stomach hurts after eating too much.
vision,未来像,She has a clear vision for her future.
expansion,拡張,拡大,The expansion of the city caused traffic problems.
occur,発生する、起こる,A strange thing occurred during the meeting.
indeed,実に、全く,"Indeed, this is the best restaurant in town."
solution,解決法,解明,They finally found a solution to the problem.
ease,容易さ、気楽さ,His joke helped to ease the tension in the room.
elect,を選出する,The students elected a new class leader.
unit,単位,Please choose the correct unit of measurement.
fact,事実,It is a fact that exercise is good for health.
educational,教育の,This is an educational program for young children.
manner,やり方、方法,He spoke to the customer in a polite manner.
suffering,苦しみ,The war caused great suffering for many families.
crucial,重要な、決定的な,Water is crucial for all living things.
tear,を引き裂く,She began to tear the paper into small pieces.
govern,統治する,The new president promised to govern fairly.
enforcement,執行,実施,The company improved the enforcement of safety rules.
brain,頭脳,脳,Using your brain every day keeps it healthy.
talented,才能のある,She is a talented young singer.
research,研究/研究する,He is doing research on ocean pollution.
firm,しっかりした、堅い,The company is a small but successful firm.
community,共同社会,They live in a friendly community.
force,力、勢い,The strong wind blew the tree down with great force.
past,過去の、終わった,He often thinks about his past mistakes.
right,正しい,You did the right thing by telling the truth.
impressive,印象的な,The view from the top was impressive.
salary,給料,He earns a good salary at his new job.
deal,を扱う、分配する,It is not easy to deal with such a big problem.
prompt,即座の,She gave a prompt reply to my email.
let A do,Aにさせる,Please let me know if you have any questions.
vote,投票する/投票権,He decided to vote for the new candidate.
president,社長、大統領,The president gave a speech to the nation.
range,範囲、幅,The mountain range stretches for many kilometers.
vital,極めて重要な、生命の,Clean water is vital for human life.
estate,財産,They bought a large estate in the countryside.
responsibility,責任,It is our responsibility to protect the environment.
unknown,未知の,The cause of the fire is still unknown.
grant,給付金,The student received a grant to study abroad.
perceive,知覚する,People perceive the world differently based on their experiences.
especially,特に,"I like all fruits, especially strawberries."
client,顧客,The lawyer met with his client to discuss the case.
mysterious,不可解な、不思議な,The old house looked mysterious in the moonlight.
steel,鋼鉄,This bridge is built with strong steel.
concept,概念,観念,It is a difficult concept to understand at first.
nevertheless,にも関わらず,"He was tired; nevertheless, he finished the race."
attribute,に帰する,People often attribute their success to hard work.
prevent,を妨げる、予防する,Wearing a helmet can prevent serious injuries.
manufacturer,製造元,製造業者,The car manufacturer opened a new factory.
effect,効果、影響,結果,The medicine had a good effect on his health.
million,100万,More than a million people live in this city.
encounter,遭遇する,I had an interesting encounter with an old friend.
accuse,告発する,They accused him of stealing the money.
briefly,簡単に、手短に,She briefly explained the plan to the team.
so-called,いわゆる,The so-called expert gave some wrong advice.
global,地球の,Climate change is a global problem.
according to,によると,"According to the weather report, it will rain tomorrow."
lack,不足,欠乏,There is a lack of fresh water in this area.
essay,論文,小説,She wrote an essay about her favorite book.
approach,に近づく、接近する,We need a new approach to solve this problem.
bear,我慢する、を圧迫する,It's hard to bear the summer heat this year.
natural,当然の、自然の,It is natural to feel nervous before a big test.
administration,機関、運営,The school administration decided to change the rules.
audience,聴衆 観客,The audience clapped loudly after the performance.
production,生産、製造,The factory increased its production of cars.
qualify,に資格を与える,You need to qualify for the next round.
intention,意図,"His intention was to help, not to hurt anyone."
previously,以前は、前もって,She had previously worked as a teacher.
language,言語,He is studying a foreign language at university.
fee,料金,手数料,There is a small fee for using this service.
nor,もない,"He can't sing, nor can he dance."
negotiation,交渉、話し合い,The two companies started a negotiation about the price.
automobile,自動車,He bought a new automobile last month.
dust,ほこり,There was a lot of dust on the old books.
extremely,極端に、過度に,It was extremely cold this morning.
echo,こだま,We heard a loud echo in the empty hall.
detailed,詳細の,She gave a detailed explanation of the plan.
